Salt,pH,Replicate,init.c1,init.c2,init.c3,init.c4,init.c5,init.c6,init.c7,init.c8,init.c9,init.c10,init.c11,init.c12,init.c13,init.c14,post.c1,post.c2,post.c3,post.c4,post.c5,post.c6,post.c7,post.c8,post.c9,post.c10,post.c11,post.c12,post.c13,post.c14
50,6.9,1,2.2454545455,4.4886363636,6.9734848485,9.0340909091,12.0909090909,13.8295454545,16.5075757576,19.3295454545,24.5113636364,28.803030303,32.6439393939,37.0568181818,43.5227272727,44.8484848485,2.1856060606,4.3712121212,6.5568181818,8.7424242424,10.928030303,13.1136363636,15.2992424242,17.4848484848,21.8560606061,26.2272727273,30.5984848485,34.9696969697,39.3409090909,43.7121212121
100,6.9,1,2.2518939394,4.6590909091,6.9507575758,9.4053030303,11.7348484848,14.5189393939,17.1515151515,19.4696969697,23.3409090909,28.8863636364,34.3522727273,36.8560606061,40.6439393939,47.1590909091,2.4318181818,4.8636363636,7.2954545455,9.7272727273,12.1590909091,14.5909090909,17.0227272727,19.4545454545,24.3181818182,29.1818181818,34.0454545455,38.9090909091,43.7727272727,48.6363636364
200,6.9,1,2.2306818182,4.625,7.2121212121,9.1931818182,11.7689393939,13.7727272727,15.696969697,18.1818181818,23.1098484848,27.7954545455,31.9128787879,35.365530303,42.803030303,45.8712121212,2.253787879,4.507575758,6.761363636,9.015151515,11.26893939,13.52272727,15.77651515,18.03030303,22.53787879,27.04545455,31.5530303,36.06060606,40.56818182,45.07575758
50,4.7,1,2.2609848485,4.3939393939,7.5643939394,9.4128787879,11.75,14.4015151515,17.196969697,18.7575757576,24.1325757576,28.5151515152,34.2386363636,37.4242424242,41.4772727273,47.7651515152,2.2215909091,4.4431818182,6.6647727273,8.8863636364,11.1079545455,13.3295454545,15.5511363636,17.7727272727,22.2159090909,26.6590909091,31.1022727273,35.5454545455,39.9886363636,44.4318181818
100,4.7,1,2.2723484848,4.678030303,6.9848484848,9.5454545455,11.9848484848,14.0984848485,16.6590909091,18.9583333333,24.0303030303,28.4128787879,32.9696969697,40.6439393939,42.3863636364,47.7272727273,2.2102272727,4.4204545455,6.6306818182,8.8409090909,11.0511363636,13.2613636364,15.4715909091,17.6818181818,22.1022727273,26.5227272727,30.9431818182,35.3636363636,39.7840909091,44.2045454545
200,4.7,1,2.3609848485,4.5946969697,7.375,9.9356060606,12.2083333333,14.4318181818,16.928030303,19.8560606061,23.9507575758,29.5378787879,34.446969697,38.2575757576,41.7424242424,45.4545454545,2.0928030303,4.1856060606,6.2784090909,8.3712121212,10.4640151515,12.5568181818,14.6496212121,16.7424242424,20.928030303,25.1136363636,29.2992424242,33.4848484848,37.6704545455,41.8560606061
75,4.7,1,2.2215909091,3.4848484848,5.8712121212,9.0265151515,10.9204545455,14.2424242424,16.2878787879,18.0454545455,22.7462121212,27.1704545455,33.5340909091,36.3484848485,34.3181818182,37.5,1.9678030303,3.9356060606,5.9034090909,7.8712121212,9.8390151515,11.8068181818,13.7746212121,15.7424242424,19.678030303,23.6136363636,27.5492424242,31.4848484848,35.4204545455,39.3560606061
150,4.7,1,1.7791666667,3,5.2840909091,7.1856060606,9.9015151515,12.5037878788,15.0833333333,17.7083333333,22.625,26.8863636364,31.2462121212,36.553030303,42.196969697,46.6363636364,2.2253787879,4.4507575758,6.6761363636,8.9015151515,11.1268939394,13.3522727273,15.5776515152,17.803030303,22.2537878788,26.7045454545,31.1553030303,35.6060606061,40.0568181818,44.5075757576
300,4.7,1,2.3227272727,4.803030303,6.821969697,9.3484848485,11.3522727273,13.8295454545,16.3371212121,19.0909090909,26.25,28.7689393939,33.2348484848,36.5871212121,42.9166666667,44.9621212121,1.9943181818,3.9886363636,5.9829545455,7.9772727273,9.9715909091,11.9659090909,13.9602272727,15.9545454545,19.9431818182,23.9318181818,27.9204545455,31.9090909091,35.8977272727,39.8863636364
75,6.9,1,2.3731060606,5.8409090909,7.8598484848,10.5303030303,12.7613636364,14.7462121212,18.1287878788,19.9583333333,24.4734848485,29.9772727273,33.303030303,39.8106060606,44.3560606061,53.1439393939,2.4640151515,4.928030303,7.3920454545,9.8560606061,12.3200757576,14.7840909091,17.2481060606,19.7121212121,24.6401515152,29.5681818182,34.4962121212,39.4242424242,44.3522727273,49.2803030303
150,6.9,1,2.353030303,4.6515151515,7.0454545455,9.2613636364,12.0037878788,14.4128787879,17.1742424242,19.4166666667,24.2878787879,29.5378787879,33.7272727273,34.2803030303,41.7424242424,47.7272727273,1.7784090909,3.5568181818,5.3352272727,7.1136363636,8.8920454545,10.6704545455,12.4488636364,14.2272727273,17.7840909091,21.3409090909,24.8977272727,28.4545454545,32.0113636364,35.5681818182
300,6.9,1,2.0977272727,4.9204545455,7.7992424242,9.8295454545,12.303030303,14.7765151515,16.5984848485,22.0643939394,23.9507575758,31.4734848485,34.6590909091,24.1287878788,29.9242424242,39.4696969697,1.8761363636,3.7522727273,5.6284090909,7.5045454545,9.3806818182,11.2568181818,13.1329545455,15.0090909091,18.7613636364,22.5136363636,26.2659090909,30.0181818182,33.7704545455,37.5227272727
50,4.7,2,2.242045455,4.246212121,6.863636364,8.946969697,11.625,13.77272727,16.64772727,18.93939394,23.78030303,29.27272727,30.42045455,33.90151515,38.14393939,43.40909091,2.125,4.25,6.375,8.5,10.625,12.75,14.875,17,21.25,25.5,29.75,34,38.25,42.5
74,4.7,2,2.2916666667,4.6666666667,7.0037878788,9.3598484848,11.696969697,14.2007575758,16.678030303,18.5340909091,23.9128787879,28.1136363636,33.1628787879,34.3939393939,40.4545454545,47.4242424242,1.7367424242,3.4734848485,5.2102272727,6.946969697,8.6837121212,10.4204545455,12.1571969697,13.8939393939,17.3674242424,20.8409090909,24.3143939394,27.7878787879,31.2613636364,34.7348484848
125,4.7,1,2.3193181818,4.5303030303,7.1628787879,9.4545454545,11.6060606061,14.1363636364,15.6136363636,16.1590909091,23.1098484848,28.4962121212,33.7310606061,36.6666666667,39.9621212121,46.3257575758,2.2064393939,4.4128787879,6.6193181818,8.8257575758,11.0321969697,13.2386363636,15.4450757576,17.6515151515,22.0643939394,26.4772727273,30.8901515152,35.303030303,39.7159090909,44.1287878788
125,6.9,1,2.2981060606,4.3522727273,6.6704545455,9.2234848485,11.1098484848,13.6856060606,14.2196969697,18.1931818182,22.946969697,28.1022727273,32.5303030303,37.0378787879,38.1818181818,45.7196969697,1.9090909091,3.8181818182,5.7272727273,7.6363636364,9.5454545455,11.4545454545,13.3636363636,15.2727272727,19.0909090909,22.9090909091,26.7272727273,30.5454545455,34.3636363636,38.1818181818
250,6.9,1,2.1973484848,3.2537878788,6.0189393939,9.2954545455,11.25,13.2954545455,15.7196969697,17.5113636364,22.4318181818,27.6742424242,31.9848484848,31.6666666667,34.8106060606,46.0606060606,2.2746212121,4.5492424242,6.8238636364,9.0984848485,11.3731060606,13.6477272727,15.9223484848,18.196969697,22.7462121212,27.2954545455,31.8446969697,36.3939393939,40.9431818182,45.4924242424
